date,source,impressions,clicks,spend,conversions,campaign,avg_session_duration,pages_per_session,bounce_rate,conversion_rate,feature1,feature2,cluster
2024-01-01,Instagram,16795,5550,305.05,574,Instagram_campaign_3,192.75,1.39,0.33,0.1034234234234234,16795,5550,0
2024-01-02,Instagram,1860,1763,511.02,160,Instagram_campaign_4,103.16,6.9,0.64,0.0907543959160521,1860,1763,0
2024-01-03,Instagram,39158,9821,404.05,153,Instagram_campaign_4,65.96,1.36,0.66,0.0155788616230526,39158,9821,1
2024-01-04,Instagram,45732,5692,424.96,578,Instagram_campaign_4,50.57,1.13,0.76,0.1015460295151089,45732,5692,1
2024-01-05,Instagram,12284,7492,852.0,48,Instagram_campaign_1,283.94,5.88,0.22,0.0064068339562199,12284,7492,0
2024-01-06,Instagram,7265,1406,933.52,118,Instagram_campaign_4,142.49,7.98,0.72,0.0839260312944523,7265,1406,0
2024-01-07,Instagram,17850,6876,116.9,702,Instagram_campaign_5,186.91,7.28,0.52,0.1020942408376963,17850,6876,2
2024-01-08,Instagram,38194,5964,248.47,51,Instagram_campaign_3,278.18,5.03,0.58,0.0085513078470824,38194,5964,1
2024-01-09,Instagram,22962,9574,687.59,195,Instagram_campaign_5,52.34,7.42,0.59,0.0203676624190515,22962,9574,2
2024-01-10,Instagram,48191,7626,390.71,944,Instagram_campaign_4,266.7,1.04,0.69,0.1237870443220561,48191,7626,1
2024-01-11,Instagram,45131,9001,291.46,407,Instagram_campaign_3,178.93,7.83,0.4,0.0452171980891012,45131,9001,1
2024-01-12,Instagram,17023,5675,330.53,232,Instagram_campaign_3,74.51,4.44,0.64,0.0408810572687224,17023,5675,0
2024-01-13,Instagram,42090,5630,356.42,643,Instagram_campaign_2,141.04,6.06,0.52,0.1142095914742451,42090,5630,1
2024-01-14,Instagram,2685,4513,856.24,142,Instagram_campaign_2,239.95,6.75,0.68,0.0314646576556614,2685,4513,0
2024-01-15,Instagram,1769,3848,179.79,172,Instagram_campaign_3,159.7,6.03,0.79,0.0446985446985447,1769,3848,0
2024-01-16,Instagram,3433,763,723.47,224,Instagram_campaign_2,296.03,4.75,0.32,0.2935779816513761,3433,763,0
2024-01-17,Instagram,6311,2098,575.18,742,Instagram_campaign_4,131.72,4.34,0.8,0.3536701620591039,6311,2098,0
2024-01-18,Instagram,38819,8094,331.68,244,Instagram_campaign_2,232.39,6.87,0.25,0.030145787002718,38819,8094,1
2024-01-19,Instagram,40188,1595,448.79,852,Instagram_campaign_2,136.11,2.44,0.2,0.5341692789968652,40188,1595,1
2024-01-20,Instagram,18568,3404,293.4,667,Instagram_campaign_1,253.87,7.78,0.23,0.1959459459459459,18568,3404,2
2024-01-21,Instagram,20769,3863,630.94,760,Instagram_campaign_2,183.65,5.98,0.41,0.1967382863059798,20769,3863,2
2024-01-22,Instagram,29693,5332,127.51,597,Instagram_campaign_2,47.15,2.4,0.58,0.1119654913728432,29693,5332,2
2024-01-23,Instagram,7396,1953,54.93,18,Instagram_campaign_3,39.94,6.15,0.24,0.0092165898617511,7396,1953,0
2024-01-24,Instagram,28480,6685,646.5,83,Instagram_campaign_5,66.14,4.71,0.2,0.0124158563949139,28480,6685,2
2024-01-25,Instagram,42434,1391,234.56,963,Instagram_campaign_5,33.69,5.95,0.76,0.6923076923076923,42434,1391,1
2024-01-26,Instagram,26658,3681,117.39,501,Instagram_campaign_3,50.35,6.37,0.69,0.1361043194784026,26658,3681,2
2024-01-27,Instagram,19942,7654,426.94,922,Instagram_campaign_5,216.76,1.61,0.69,0.1204598902534622,19942,7654,2
2024-01-28,Instagram,19431,7380,98.23,262,Instagram_campaign_1,174.27,4.54,0.73,0.0355013550135501,19431,7380,2
